الدوري,الفريق الاول,الفريق الثاني,موعد المباراة,نتيجة المباراة
كأس العالم,الأرجنتين,السعودية,12:00,1 - 2
كأس العالم,الدنمارك,تونس,15:00,0 - 0
كأس العالم,المكسيك,بولندا,18:00,0 - 0
كأس العالم,فرنسا,أستراليا,21:00,4 - 1
