الدوري,الفريق الاول,الفريق الثاني,موعد المباراة,نتيجة المباراة
الدوري الإسباني,جيرونا,الميريا,22:00,6 - 2
دوري أبطال إفريقيا,المريخ,الزمالك,15:00,0 - 0
دوري أبطال إفريقيا,القطن الكاميروني,ماميلودي صنداونز,18:00,1 - 3
دوري أبطال إفريقيا,شبيبة القبــــائل,الوداد البيضاوي,21:00,1 - 0
