الدوري,الفريق الاول,الفريق الثاني,موعد المباراة,نتيجة المباراة
كأس العالم,المغرب,كرواتيا,12:00,0 - 0
كأس العالم,ألمانيا,اليــــابان,15:00,1 - 2
كأس العالم,إسبانيا,كوستاريكا,18:00,7 - 0
كأس العالم,بلجيكا,كندا,21:00,1 - 0
الدوري المصري,فاركو,الإسماعيلي,17:00,1 - 1
الدوري المصري,بيراميدز,البنك الاهلي,17:00,2 - 0
الدوري المصري,فيوتشر اف سي,أسوان,17:00,2 - 1
